Name	IP	MAC
Galaxy-J8	192.168.0.2	FC:64:3A:BF:04:6A
DESKTOP-IKFGG5M	192.168.0.3	F8:DA:0C:FF:E8:DB
unknown	192.168.0.6	F8:D0:AC:E2:A7:8B
DESKTOP-KGMS08U	192.168.0.10	00:05:16:63:C9:C1
Tiago	192.168.0.11	10:08:B1:94:4B:21
Redmi5Plus-Redmi	192.168.0.12	20:47:DA:D1:EA:B8
DESKTOP-KGMS08U	2804:14C:5B85:99FC:4F4:BBC8:539D:9D0C	00:05:16:63:C9:C1
Galaxy-J8	2804:14C:5B85:99FC:19C1:F012:611A:F70D	FC:64:3A:BF:04:6A
Redmi5Plus-Redmi	2804:14C:5B85:99FC:2247:DAFF:FED1:EAB8	20:47:DA:D1:EA:B8
Tiago	2804:14C:5B85:99FC:E066:A8C0:1B66:8A04	10:08:B1:94:4B:21
DESKTOP-IKFGG5M	2804:14C:5B85:99FC:E117:C18:B3F5:31B8	F8:DA:0C:FF:E8:DB
DESKTOP-KGMS08U	FE80::4F4:BBC8:539D:9D0C	00:05:16:63:C9:C1
Redmi5Plus-Redmi	FE80::2247:DAFF:FED1:EAB8	20:47:DA:D1:EA:B8
DESKTOP-IKFGG5M	FE80::C0CD:4DAB:148F:AAA5	F8:DA:0C:FF:E8:DB
Tiago	FE80::E066:A8C0:1B66:8A04	10:08:B1:94:4B:21
Galaxy-J8	FE80::FE64:3AFF:FEBF:46A	FC:64:3A:BF:04:6A

