Name	IP	MAC
DESKTOP-IKFGG5M	192.168.0.3	F8:DA:0C:FF:E8:DB
DESKTOP-KGMS08U	192.168.0.7	00:05:16:63:C9:C1
unknown	192.168.0.9	F8:D0:AC:E2:A7:8B
Tiago	192.168.0.11	10:08:B1:94:4B:21
unknown	192.168.0.15	DC:BF:E9:4C:9E:97
DESKTOP-IKFGG5M	2804:14C:5B85:99FC:2DA7:25C2:B05A:5BD0	F8:DA:0C:FF:E8:DB
unknown	2804:14C:5B85:99FC:317D:5636:C816:AEF7	DC:BF:E9:4C:9E:97
DESKTOP-KGMS08U	2804:14C:5B85:99FC:B486:5633:BF8D:CB60	00:05:16:63:C9:C1
Tiago	2804:14C:5B85:99FC:E066:A8C0:1B66:8A04	10:08:B1:94:4B:21
DESKTOP-KGMS08U	FE80::4F4:BBC8:539D:9D0C	00:05:16:63:C9:C1
DESKTOP-IKFGG5M	FE80::C0CD:4DAB:148F:AAA5	F8:DA:0C:FF:E8:DB
unknown	FE80::DEBF:E9FF:FE4C:9E97	DC:BF:E9:4C:9E:97
Tiago	FE80::E066:A8C0:1B66:8A04	10:08:B1:94:4B:21
